Restaurant Name,Original Location,Original City,Original State,Original Country,Notes,Search Status,Found Address,Source URL,Latitude,Longitude,Geocoded Address,Precision Level
JB's,New Smyrna Beach,New Smyrna Beach,FL,USA,,city_level_geocoded,31 years into a world famous dest,https://www.yelp.com/biz/jbs-fish-camp-and-seafood-restaurant-new-smyrna-beach,29.0258132,-80.9271271,"New Smyrna Beach, Volusia County, Florida, United States",city
Ca's Patro March,Mallorca,,Mallorca,Spain,,skipped_missing_data,,,,,,failed
Aubrey's,Knoxville,Knoxville,TN,USA,"Multiple locations: Knoxville area, Lebanon, Cleveland, Spring Hill",found_and_geocoded,"6005 Brookvale Ln,",https://www.yelp.com/biz/aubreys-papermill-knoxville-4,35.9371341,-84.0068057,"6005, Brookvale Lane, Brookvale, Bearden, Knoxville, Knox County, East Tennessee, Tennessee, 37919, United States",restaurant
Smokin Jerry's tiki hut,Placida,Placida,FL,USA,,found_and_geocoded,10 trave,https://www.tripadvisor.com/ShowUserReviews-g34563-d26889679-r941726790-Smokin_Jerry_s_Tiki_Hut-Placida_Florida.html,46.4381872,12.9006751,"10, Trava / Trave, Lauco / Lauc, Udine, Friuli-Venezia Giulia, 33029, Italia",restaurant
Bastion,,,,,Location not specified,skipped_missing_data,,,,,,failed
Columbia,St. Augustine,St. Augustine,FL,USA,,city_level_geocoded,"George Street, surrounded by shops and attractions",https://www.opentable.com/columbia-restaurant-st-augustine,29.8946952,-81.3145395,"Saint Augustine, Saint Johns County, Florida, 32084, United States",city
Cali and Tito's,Athens,Athens,GA,USA,,city_level_geocoded,,,33.9597677,-83.376398,"Athens, Clarke County, Georgia, United States",city
Maple Grove,Erwin,Erwin,TN,USA,,found_and_geocoded,"1207 Gouge Rd, Unicoi",https://www.yelp.com/biz/maple-grove-unicoi,36.2046111,-82.350265,"Maple Grove, 1207, Gouge Road, Unicoi, Unicoi County, East Tennessee, Tennessee, 37692, United States",restaurant
The Garlic,New Smyrna Beach,New Smyrna Beach,FL,USA,,found_and_geocoded,"3rd Ave,",https://www.yelp.com/biz/the-garlic-new-smyrna-beach,40.7331529,-73.986821,"3rd Avenue, East 14th Street, East Village, Manhattan Community Board 6, Manhattan, New York County, City of New York, New York, 10003, United States",restaurant
The Sage Room,Hilton Head,Hilton Head,SC,USA,,city_level_geocoded,,,32.1618488,-80.7512616,"Hilton Head Island, Beaufort County, South Carolina, United States",city
Local 3,Atlanta,Atlanta,GA,USA,,city_level_geocoded,,,33.7544657,-84.3898151,"Atlanta, Fulton County, Georgia, United States",city
Pastis,New York,New York,NY,USA,,found_and_geocoded,"9 9th Ave,",https://www.yelp.com/biz/pastis-new-york,40.709673,-73.4462918,"9, 9th Avenue, Village of Farmingdale, Town of Oyster Bay, Nassau County, New York, 11735, United States",restaurant
